title,year,genre,director,rating,votes,runtime,revenue
Hush,2016,Slasher,Coen Brothers,6.2,33482,99,
The Jungle Book,2016,"Adventure, Drama",Coen Brothers,5.3,7691,95,3537.7
Barbershop: The Next Cut,2016,Comedy,Quentin Tarantino,7.2,13035,113,1821.9
Criminal,2016,"Action, Thriller",Wes Anderson,6.6,13917,97,261.8
Green Room,2016,"Horror, Thriller",Ridley Scott,5.3,56123,144,
The Huntsman: Winter's War,2016,"Action, Adventure, Fantasy",Quentin Tarantino,3.5,47765,96,54.7
A Hologram for the King,2016,"Comedy, Drama",James Cameron,6.2,30715,121,
Elvis & Nixon,2016,"Comedy, Drama",Stanley Kubrick,8.0,53698,140,241.9
Precious Cargo,2016,Action,Wes Anderson,6.4,10052,71,603.7
Keanu,2016,"Action, Comedy",Peter Jackson,6.4,59481,85,251.9
Mother's Day,2016,"Drama, Comedy, Romance",Steven Spielberg,6.7,21171,90,87.8
Ratchet & Clank,2016,"Animated, Comedy, Science Fiction",Paul Thomas Anderson,6.6,14346,132,
Captain America: Civil War,2016,Superhero,Ridley Scott,6.0,3899,78,27.6
Money Monster,2016,"Crime, Thriller",Francis Ford Coppola,6.6,58739,78,8.1
Sundown,2016,Comedy,Coen Brothers,4.1,28743,98,91.1
The Darkness,2016,"Horror, Supernatural",Martin Scorsese,6.6,111140,64,336.8
Love & Friendship,2016,"Comedy, Historical",James Cameron,8.9,23083,117,187.8
The Angry Birds Movie,2016,"Animated, Comedy",Denis Villeneuve,4.0,35765,115,24.9
Neighbors 2: Sorority Rising,2016,Comedy,Denis Villeneuve,6.4,57915,135,93.9
The Nice Guys,2016,"Action, Comedy, Noir",James Cameron,4.3,19429,92,304.7
X-Men: Apocalypse,2016,Superhero,Christopher Nolan,6.1,23760,68,
Alice Through the Looking Glass,2016,"Live Action, Adventure, Animated",Stanley Kubrick,5.7,32997,116,
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Superhero,Denis Villeneuve,8.5,245439,104,1504.5
Me Before You,2016,"Drama, Romance",Unknown Director,7.9,3655,89,
Popstar: Never Stop Never Stopping,2016,"Comedy, Musical, Satire",Peter Jackson,7.7,22474,67,22.2
The Conjuring 2,2016,"Horror, Supernatural",David Fincher,5.2,47847,138,
Warcraft,2016,"Action, Fantasy",Christopher Nolan,4.8,28537,100,575.8
Now You See Me 2,2016,"Thriller, Action",Steven Spielberg,5.8,35817,117,38.2
Finding Dory,2016,"Adventure, Animated, Comedy",Stanley Kubrick,5.6,11247,116,
Central Intelligence,2016,"Action, Comedy",Francis Ford Coppola,8.3,137443,124,86.9
Independence Day: Resurgence,2016,"Action, Science Fiction",Paul Thomas Anderson,4.8,3342,97,21.1
The Shallows,2016,Horror,Unknown Director,5.8,51298,111,85.3
Free State of Jones,2016,"Historical, War",Paul Thomas Anderson,5.8,99671,138,
The Neon Demon,2016,Horror,Stanley Kubrick,6.6,1719,125,176.7
Swiss Army Man,2016,"Comedy, Drama",Steven Spielberg,5.0,38464,111,15.3
The Legend of Tarzan,2016,Adventure,Alfred Hitchcock,5.9,37742,152,71.2
The BFG,2016,"Adventure, Fantasy",Francis Ford Coppola,7.0,207633,60,
The Purge: Election Year,2016,"Action, Horror, Political",James Cameron,7.2,69676,149,28.6
Marauders,2016,Crime,Alfred Hitchcock,5.7,17733,132,103.4
The Secret Life of Pets,2016,"Animated, Comedy",Alfred Hitchcock,5.9,34556,95,
Captain Fantastic,2016,"Comedy, Drama",Peter Jackson,4.9,12291,94,
Mike and Dave Need Wedding Dates,2016,"Comedy, Romance",Peter Jackson,8.7,97242,148,
Characterz,2016,Comedy,Coen Brothers,7.4,29044,104,652.5
The Infiltrator,2016,"Crime, Biography",Ridley Scott,5.8,1742,138,5.1
Café Society,2016,"Comedy, Drama, Romance",Denis Villeneuve,7.6,25089,114,
Ghostbusters,2016,"Comedy, Supernatural",Peter Jackson,6.0,19704,128,53.9
Star Trek Beyond,2016,"Action, Science Fiction",Wes Anderson,5.9,66221,132,98.7
Batman: The Killing Joke,2016,"Animated, Superhero, Thriller",Stanley Kubrick,7.5,110520,101,
Ice Age: Collision Course,2016,"Adventure, Animated, Comedy",Denis Villeneuve,8.1,18973,135,
Lights Out,2016,"Horror, Supernatural",Quentin Tarantino,6.9,37258,113,194.2
Nerve,2016,"Adventure, Thriller",James Cameron,5.0,26312,98,1653.6
Jason Bourne,2016,"Action, Thriller",Paul Thomas Anderson,6.4,11651,107,851.7
Bad Moms,2016,Comedy,Ridley Scott,6.0,146446,132,
Suicide Squad,2016,Superhero,Ridley Scott,6.4,3681,88,7.5
Nine Lives,2016,Comedy,Ridley Scott,3.8,18623,118,222.7
Pete's Dragon,2016,"Adventure, Fantasy",Martin Scorsese,7.8,15657,129,
Sausage Party,2016,"Animated, Comedy, Erotic",Alfred Hitchcock,3.9,41452,143,2.8
Florence Foster Jenkins,2016,Biography,Martin Scorsese,4.8,11169,103,69.1
Hell or High Water,2016,"Crime, Drama, Western",James Cameron,6.5,21751,71,46.7
Ben-Hur,2016,"Drama, Historical",Stanley Kubrick,6.7,36296,102,
Kubo and the Two Strings,2016,"Action, Animated, Fantasy",Unknown Director,5.8,12754,164,
War Dogs,2016,Unknown,James Cameron,6.7,2580,134,
Mechanic: Resurrection,2016,"Action, Thriller",Steven Spielberg,6.5,6683,142,850.8
Don't Breathe,2016,"Horror, Thriller",Paul Thomas Anderson,5.5,13802,100,156.3
Hands of Stone,2016,"Sports, Biography",Steven Spielberg,6.3,1531,160,
The 9th Life of Louis Drax,2016,"Supernatural, Thriller",Steven Spielberg,6.0,23651,129,75.0
The Light Between Oceans,2016,"Drama, Romance",Coen Brothers,4.2,17591,92,
Morgan,2016,"Science Fiction, Thriller",Quentin Tarantino,6.4,16980,126,16.4
Sully,2016,"Drama, Biography",James Cameron,5.9,4864,121,87.9
When the Bough Breaks,2016,Thriller,Wes Anderson,4.2,4148,122,24.9
Robinson Crusoe,2016,"Adventure, Animated, Comedy",Quentin Tarantino,6.2,9250,70,
The Disappointments Room,2016,Horror,David Fincher,8.1,69898,122,419.8
Bridget Jones's Baby,2016,"Comedy, Romance",Martin Scorsese,6.6,12781,117,206.1
Snowden,2016,"Thriller, Biography",Unknown Director,4.3,48601,94,427.4
Blair Witch,2016,"Found Footage, Horror, Supernatural",Wes Anderson,4.4,8956,113,14.1
Hillsong: Let Hope Rise,2016,Documentary,Wes Anderson,8.3,250838,123,
The Magnificent Seven,2016,"Action, Western",Steven Spielberg,8.1,37186,109,
Storks,2016,"Adventure, Animated, Comedy",Stanley Kubrick,6.8,43161,107,25.6
Miss Peregrine's Home for Peculiar Children,2016,Fantasy,Unknown Director,4.6,4041,116,48.9
Deepwater Horizon,2016,"Disaster, Biography",Christopher Nolan,7.3,39161,63,57.5
Queen of Katwe,2016,"Drama, Sports, Biography",Paul Thomas Anderson,6.0,1877,99,
Masterminds,2016,"Comedy, Crime",Christopher Nolan,6.0,116193,122,12.1
The Girl on the Train,2016,"Mystery, Thriller",Paul Thomas Anderson,10.0,117922,90,
The Birth of a Nation,2016,"Drama, Historical",Paul Thomas Anderson,6.6,28531,112,
Middle School: The Worst Years of My Life,2016,"Live Action, Animated, Comedy",Alfred Hitchcock,8.1,96554,87,290.5
The Accountant,2016,"Action, Thriller",Wes Anderson,6.4,2921,103,
Kevin Hart: What Now?,2016,"Comedy, Performance",Paul Thomas Anderson,5.5,33698,118,1062.5
Max Steel,2016,"Action, Superhero",David Fincher,7.2,29296,133,209.6
Jack Reacher: Never Go Back,2016,"Action, Thriller, War",Stanley Kubrick,8.0,100765,107,346.0
Keeping Up with the Joneses,2016,"Action, Comedy",Denis Villeneuve,6.8,17671,137,
Ouija: Origin of Evil,2016,"Horror, Supernatural",David Fincher,6.3,4778,130,
Boo! A Madea Halloween,2016,"Comedy, Horror",Christopher Nolan,6.4,38552,120,
I'm Not Ashamed,2016,"Drama, Biography",Unknown Director,6.9,37250,139,74.2
American Pastoral,2016,"Crime, Drama",Unknown Director,5.5,76896,104,
Inferno,2016,"Action, Mystery, Thriller",Alfred Hitchcock,5.6,7380,100,
Doctor Strange,2016,Superhero,Stanley Kubrick,4.7,34591,113,77.6
Trolls,2016,"Animated, Comedy, Musical",Martin Scorsese,6.6,91046,93,252.4
Hacksaw Ridge,2016,"Documentary, War, Biography",Wes Anderson,6.5,57373,106,38.6
Loving,2016,"Drama, Biography, Romance",Steven Spielberg,6.2,33257,111,35.4
The Love Witch,2016,"Comedy, Horror",Quentin Tarantino,5.6,85220,80,194.9
Arrival,2016,"Drama, Science Fiction",Coen Brothers,8.1,3331,163,40.6
Billy Lynn's Long Halftime Walk,2016,"Drama, War",Denis Villeneuve,5.0,5660,118,19.6
Almost Christmas,2016,"Comedy, Drama",Francis Ford Coppola,5.7,5461,102,89.5
Shut In,2016,"Horror, Thriller",Steven Spielberg,7.8,54207,109,
Fantastic Beasts and Where to Find Them,2016,Fantasy,Coen Brothers,5.2,36903,129,15.8
The Edge of Seventeen,2016,"Comedy, Drama",Unknown Director,5.7,69655,121,
Bleed for This,2016,"Sports, Biography",James Cameron,5.7,3721,88,
Manchester by the Sea,2016,Drama,David Fincher,6.0,68935,109,
Moana,2016,"Action, Adventure, Animated",Steven Spielberg,9.4,269738,124,4.1
Allied,2016,"Drama, Thriller, War",Unknown Director,6.5,108584,129,341.7
Bad Santa 2,2016,"Comedy, Drama",Christopher Nolan,6.4,194535,113,93.1
Rules Don't Apply,2016,"Comedy, Drama, Romance",Stanley Kubrick,6.0,48743,133,
Incarnate,2016,"Horror, Supernatural",Paul Thomas Anderson,6.7,37401,135,52.5
La La Land,2016,"Musical, Romance",Paul Thomas Anderson,5.3,8315,139,320.5
Office Christmas Party,2016,Comedy,Francis Ford Coppola,4.2,20925,148,
Collateral Beauty,2016,"Drama, Fantasy",Martin Scorsese,5.4,54905,132,111.1
Fences,2016,"Drama, Historical",Coen Brothers,7.2,36099,112,
Rogue One: A Star Wars Story,2016,Science Fiction,David Fincher,6.0,39724,134,87.7
The Founder,2016,"Drama, Biography",Coen Brothers,6.4,35618,126,
Assassin's Creed,2016,"Action, Science Fiction",Martin Scorsese,7.3,67891,86,11.2
Passengers,2016,"Romance, Science Fiction",Peter Jackson,5.6,6297,101,29.7
Sing,2016,"Animated, Comedy, Musical",Francis Ford Coppola,6.3,51868,111,766.3
Patriots Day,2016,"Action, Drama",Alfred Hitchcock,5.7,1925,129,3206.2
A Monster Calls,2016,"Drama, Fantasy",Alfred Hitchcock,6.5,22164,75,52.7
Silence,2016,"Drama, Historical",Quentin Tarantino,6.7,31214,101,
Why Him?,2016,Comedy,James Cameron,7.4,178252,125,183.4
Hidden Figures,2016,"Drama, Biography",Christopher Nolan,7.2,38187,103,21.5
Live by Night,2016,"Crime, Drama",Peter Jackson,7.2,58671,115,96.3
Paterson,2016,Drama,Unknown Director,5.1,5309,97,
Underworld: Blood Wars,2017,"Action, Horror",Ridley Scott,8.0,104971,107,38.7
Arsenal,2017,"Action, Thriller",Alfred Hitchcock,6.4,52738,124,73.0
Between Us,2017,Drama,Christopher Nolan,4.5,24059,121,
Monster Trucks,2017,"Comedy, Animated",Alfred Hitchcock,7.8,90523,133,76.7
The Bye Bye Man,2017,"Horror, Supernatural",Christopher Nolan,7.4,8450,103,45.7
Sleepless,2017,"Action, Thriller",Francis Ford Coppola,4.7,3217,63,
100 Streets,2017,Drama,Paul Thomas Anderson,4.9,37279,97,
The Book of Love,2017,Drama,Unknown Director,6.1,7810,99,
Split,2017,Thriller,Denis Villeneuve,6.5,15252,97,
XXX: Return of Xander Cage,2017,"Action, Thriller",Coen Brothers,6.0,78263,108,
The Resurrection of Gavin Stone,2017,"Comedy, Drama",Ridley Scott,8.7,142843,105,131.0
Trespass Against Us,2017,"Crime, Drama",David Fincher,6.2,18098,123,220.1
Sophie and the Rising Sun,2017,Drama,James Cameron,6.8,34839,98,396.3
A Dog's Purpose,2017,"Adventure, Comedy, Drama",Steven Spielberg,6.0,46714,131,
Resident Evil: The Final Chapter,2017,"Action, Horror",Paul Thomas Anderson,5.6,26619,129,661.8
Lost in Florence,2017,"Drama, Romance",Denis Villeneuve,7.6,51228,114,52.6
I Am Michael,2017,"Drama, Biography",Ridley Scott,5.3,2811,124,
iBoy,2017,Superhero,Ridley Scott,6.6,21058,136,
Rings,2017,"Horror, Supernatural",Steven Spielberg,5.7,64097,77,38.2
The Space Between Us,2017,"Science Fiction, Romance",Alfred Hitchcock,5.2,76558,135,73.9
Youth in Oregon,2017,"Comedy, Drama",Peter Jackson,7.9,49981,134,255.3
I Am Not Your Negro,2017,Documentary,Steven Spielberg,8.6,267302,104,
Growing Up Smith,2017,"Comedy, Drama",Martin Scorsese,6.0,1996,122,
The Lego Batman Movie,2017,"Animated, Comedy, Superhero",Alfred Hitchcock,6.9,2698,101,390.2
Fifty Shades Darker,2017,"Drama, Erotic, Romance",Christopher Nolan,7.3,106481,84,201.5
John Wick: Chapter 2,2017,"Action, Thriller",Paul Thomas Anderson,8.0,29824,79,28.0
Bornless Ones,2017,"Horror, Supernatural",Peter Jackson,7.2,37599,104,96.0
The Great Wall,2017,Unknown,Christopher Nolan,7.1,4762,131,286.2
A Cure for Wellness,2017,Horror,Quentin Tarantino,7.2,37180,120,83.2
Fist Fight,2017,Comedy,Stanley Kubrick,6.6,13007,93,4.0
American Fable,2017,Thriller,Ridley Scott,7.8,8290,134,523.4
XX,2017,Horror,James Cameron,2.7,32224,133,
Lovesong,2017,Drama,James Cameron,4.9,255876,105,17.2
Get Out,2017,Horror,Unknown Director,7.1,106294,69,
Rock Dog,2017,"Animated, Comedy",Francis Ford Coppola,6.0,17818,113,1622.0
Collide,2017,"Action, Thriller",Quentin Tarantino,7.2,74461,118,
The Girl with All the Gifts,2017,"Horror, Science Fiction",Unknown Director,6.1,43830,111,
I Don't Feel at Home in This World Anymore,2017,"Comedy, Thriller",David Fincher,4.8,52961,87,46.7
Contemporary Color,2017,Documentary,Ridley Scott,5.3,50058,105,16.7
Logan,2017,Superhero,Stanley Kubrick,6.6,135351,101,
The Shack,2017,Drama,Quentin Tarantino,6.8,7616,113,7.8
Before I Fall,2017,"Drama, Science Fiction, Teen",Alfred Hitchcock,3.6,20960,117,4.5
Table 19,2017,Comedy,David Fincher,6.5,35273,119,
The Last Word,2017,"Comedy, Drama",Unknown Director,8.1,166447,126,
Catfight,2017,Comedy,Alfred Hitchcock,5.8,16423,84,109.8
Donald Cried,2017,Comedy,Wes Anderson,5.9,8561,126,7.3
Kong: Skull Island,2017,Unknown,Martin Scorsese,7.5,66745,135,
Burning Sands,2017,Drama,Paul Thomas Anderson,7.4,11739,119,
Beauty and the Beast,2017,"Fantasy, Musical, Romance",Denis Villeneuve,8.5,16770,122,
The Belko Experiment,2017,Horror,Christopher Nolan,6.5,41546,128,54.6
Song to Song,2017,"Drama, Romance",James Cameron,6.2,7601,127,
Atomica,2017,"Science Fiction, Thriller",Alfred Hitchcock,6.4,77201,113,21.2
T2 Trainspotting,2017,"Comedy, Drama",Ridley Scott,7.8,40106,93,
All Nighter,2017,Comedy,Unknown Director,6.4,23715,149,1836.8
The Devil's Candy,2017,Horror,Alfred Hitchcock,8.4,1628,132,
Power Rangers,2017,Superhero,Alfred Hitchcock,7.5,40123,107,
Life,2017,"Horror, Science Fiction",Quentin Tarantino,5.3,80449,98,877.6
CHiPs,2017,"Action, Comedy",Christopher Nolan,6.7,116260,132,2.1
Wilson,2017,"Comedy, Drama",Christopher Nolan,7.4,10214,92,
Victor,2017,Unknown,Martin Scorsese,6.0,39132,109,
Car Dogs,2017,Drama,Francis Ford Coppola,6.9,25797,101,
Walk of Fame,2017,Comedy,James Cameron,7.9,62035,95,585.2
The Marine 5: Battleground,2017,Action,Coen Brothers,5.8,94006,103,
Ghost in the Shell,2017,"Action, Science Fiction",Ridley Scott,5.9,14972,109,41.6
The Boss Baby,2017,"Animated, Comedy",Stanley Kubrick,5.6,205361,102,
The Zookeeper's Wife,2017,"Drama, War",Unknown Director,6.3,16106,83,
The Blackcoat's Daughter,2017,"Horror, Supernatural",Christopher Nolan,7.5,124648,113,
The Discovery,2017,"Science Fiction, Romance",Alfred Hitchcock,7.6,32241,115,83.0
Carrie Pilby,2017,"Comedy, Drama",Alfred Hitchcock,4.9,19885,90,
The Case for Christ,2017,Drama,Unknown Director,5.9,11494,122,568.1
Smurfs: The Lost Village,2017,"Adventure, Animated, Comedy",Martin Scorsese,7.4,4698,125,
Going in Style,2017,"Comedy, Drama, Action",Wes Anderson,6.8,58499,140,120.1
Colossal,2017,"Comedy, Science Fiction",Paul Thomas Anderson,5.7,3765,91,40.1
Gifted,2017,Drama,Martin Scorsese,4.9,56857,129,
Aftermath,2017,"Drama, Thriller",Wes Anderson,6.7,154238,100,34.8
The Fate of the Furious,2017,Action,James Cameron,5.3,59830,105,
Spark,2017,"Adventure, Animated, Comedy",Stanley Kubrick,8.3,77629,117,
The Lost City of Z,2017,"Adventure, Drama, Biography",Christopher Nolan,6.6,83489,77,16.2
My Entire High School Sinking Into the Sea,2017,"Animated, Comedy, Drama",Ridley Scott,8.8,18271,100,156.4
The Outcasts,2017,"Comedy, Teen",James Cameron,6.8,143909,137,437.5
Born in China,2017,Documentary,Christopher Nolan,3.6,1455,109,296.4
Unforgettable,2017,"Drama, Thriller",James Cameron,6.7,37291,101,
The Promise,2017,"Drama, Historical, War",Quentin Tarantino,5.5,2564,81,72.9
The Circle,2017,Thriller,Denis Villeneuve,5.4,49025,98,58.6
How to Be a Latin Lover,2017,Comedy,Wes Anderson,5.4,176934,140,
Sleight,2017,"Drama, Superhero",Wes Anderson,8.2,27454,86,34.9
Becoming Bond,2017,"Documentary, Drama",Wes Anderson,6.5,78407,136,
Guardians of the Galaxy Vol. 2,2017,Superhero,Francis Ford Coppola,3.9,73720,101,
The Lovers,2017,"Comedy, Romance",James Cameron,8.5,15794,93,70.4
3 Generations,2017,"Comedy, Drama",Stanley Kubrick,5.5,25873,135,
King Arthur: Legend of the Sword,2017,"Action, Adventure, Fantasy",Peter Jackson,6.5,1491,86,199.1
Snatched,2017,Comedy,Paul Thomas Anderson,3.9,130533,95,57.1
Lowriders,2017,Drama,Coen Brothers,7.1,117088,156,124.1
The Wall,2017,"Thriller, War",Steven Spielberg,3.6,37886,117,
Paris Can Wait,2017,"Comedy, Short",Christopher Nolan,4.6,61968,114,
Alien: Covenant,2017,"Action, Horror, Science Fiction",Peter Jackson,7.3,43041,80,269.3
Diary of a Wimpy Kid: The Long Haul,2017,Comedy,Denis Villeneuve,7.2,28963,88,
"Everything, Everything",2017,"Drama, Romance",Steven Spielberg,7.3,65527,153,2.8
Wakefield,2017,"Comedy, Drama",Christopher Nolan,7.0,13831,116,627.6
Baywatch,2017,"Action, Comedy",Martin Scorsese,5.6,26787,102,
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Fantasy,Unknown Director,3.4,6115,127,
Buena Vista Social Club: Adios,2017,Documentary,James Cameron,7.8,99916,120,
War Machine,2017,"Comedy, War",Alfred Hitchcock,6.5,34568,105,45.1
Wonder Woman,2017,Superhero,David Fincher,9.0,6741,136,410.0
Captain Underpants: The First Epic Movie,2017,"Animated, Comedy, Superhero",Unknown Director,5.2,1197,73,7.8
Dean,2017,"Comedy, Drama",Stanley Kubrick,6.4,101829,135,78.2
The Mummy,2017,"Action, Adventure, Fantasy",James Cameron,7.9,67053,118,67.1
It Comes at Night,2017,Horror,Peter Jackson,5.9,2202,98,909.4
My Cousin Rachel,2017,"Drama, Romance",Wes Anderson,7.1,25782,89,55.4
Megan Leavey,2017,"Drama, Biography",Steven Spielberg,8.2,24237,141,
Beatriz at Dinner,2017,"Comedy, Drama",Alfred Hitchcock,5.3,137628,114,
Cars 3,2017,"Adventure, Animated, Comedy",Steven Spielberg,8.9,14798,126,35.6
Rough Night,2017,Comedy,Peter Jackson,6.6,12208,132,101.1
All Eyez on Me,2017,"Drama, Biography",Francis Ford Coppola,7.5,4809,107,
47 Meters Down,2017,Horror,Unknown Director,7.7,12759,117,838.3
The Book of Henry,2017,"Drama, Thriller",Quentin Tarantino,7.6,65277,92,368.0
Once Upon a Time in Venice,2017,"Comedy, Crime",Peter Jackson,5.6,229290,75,458.1
Transformers: The Last Knight,2017,"Action, Science Fiction",Christopher Nolan,7.4,5361,134,
The Beguiled,2017,Thriller,David Fincher,6.3,77400,73,
The Big Sick,2017,"Comedy, Romance",Unknown Director,7.7,108750,99,
The Bad Batch,2017,Thriller,Wes Anderson,6.1,49197,128,1328.0
Baby Driver,2017,Action,Denis Villeneuve,6.9,136116,110,43.8
Okja,2017,"Action, Adventure, Fantasy",Quentin Tarantino,6.2,52410,92,
Despicable Me 3,2017,"Animated, Comedy",Peter Jackson,4.8,39055,113,89.5
The House,2017,Comedy,Ridley Scott,8.6,20093,120,
The Little Hours,2017,Comedy,Ridley Scott,6.4,32174,150,
Inconceivable,2017,Thriller,Ridley Scott,5.8,315,110,46.5
2:22,2017,"Science Fiction, Thriller",Paul Thomas Anderson,4.2,1201,147,
A Ghost Story,2017,"Drama, Supernatural",Wes Anderson,6.4,18671,138,50.9
Spider-Man: Homecoming,2017,Superhero,James Cameron,7.5,103218,109,65.7
War for the Planet of the Apes,2017,Science Fiction,Unknown Director,6.0,19091,143,212.4
Wish Upon,2017,"Horror, Supernatural",David Fincher,5.7,9718,119,2215.9
Dunkirk,2017,"Historical, War",Denis Villeneuve,7.3,3921,124,
Girls Trip,2017,Comedy,Francis Ford Coppola,7.0,286,80,703.9
First Kill,2017,"Action, Thriller",Quentin Tarantino,7.3,70867,123,
Atomic Blonde,2017,"Action, Thriller",Alfred Hitchcock,6.1,3662,110,557.5
The Emoji Movie,2017,"Animated, Comedy, Science Fiction",Wes Anderson,6.3,193615,121,
An Inconvenient Sequel: Truth to Power,2017,"Performance, Documentary",Alfred Hitchcock,7.1,93145,80,320.3
Detroit,2017,"Crime, Drama, Historical",Wes Anderson,8.1,107292,122,
Brigsby Bear,2017,"Comedy, Drama",Stanley Kubrick,5.9,40799,98,298.5
Menashe,2017,Drama,Paul Thomas Anderson,5.3,157969,163,70.2
The Dark Tower,2017,"Action, Fantasy, Western",Ridley Scott,7.4,48618,121,62.0
Kidnap,2017,"Action, Thriller",Unknown Director,7.2,15384,112,
Step,2017,Documentary,Steven Spielberg,7.1,51317,98,6.7
Wind River,2017,"Crime, Western",Francis Ford Coppola,6.7,45467,83,
Armed Response,2017,"Action, Horror",Coen Brothers,3.7,33200,70,
Annabelle: Creation,2017,"Horror, Supernatural",Ridley Scott,6.7,27391,115,
The Glass Castle,2017,"Drama, Biography",Wes Anderson,5.4,44337,98,
The Nut Job 2: Nutty by Nature,2017,"Animated, Comedy",David Fincher,7.1,3668,114,
Good Time,2017,"Crime, Thriller",Steven Spielberg,7.4,25750,83,
Ingrid Goes West,2017,"Comedy, Drama",Quentin Tarantino,6.2,127379,136,
The Only Living Boy in New York,2017,Drama,Steven Spielberg,4.9,3067,97,91.2
The Hitman's Bodyguard,2017,"Action, Comedy",Paul Thomas Anderson,7.3,6413,122,96.8
Logan Lucky,2017,"Comedy, Action",Christopher Nolan,4.2,34502,157,29.7
Patti Cake$,2017,Drama,Alfred Hitchcock,6.0,120190,130,
Victor Crowley,2017,"Comedy, Slasher",Steven Spielberg,5.5,26093,128,10.8
All Saints,2017,Drama,Coen Brothers,5.6,52494,77,20.7
Served Like a Girl,2017,Documentary,Ridley Scott,6.1,131684,112,67.4
Beach Rats,2017,Drama,Denis Villeneuve,8.6,48652,123,
Film Stars Don't Die in Liverpool,2017,"Drama, Biography, Romance",Francis Ford Coppola,6.1,13418,101,365.7
Tulip Fever,2017,"Drama, Historical, Romance",Paul Thomas Anderson,6.6,4840,141,
Unlocked,2017,"Action, Thriller",Steven Spielberg,4.7,17323,136,
It,2017,"Horror, Supernatural",Paul Thomas Anderson,6.7,11827,120,3136.1
Home Again,2017,"Comedy, Romance",James Cameron,5.3,29226,134,589.4
9/11,2017,"Action, Drama",Coen Brothers,6.5,145837,102,
The Good Catholic,2017,"Comedy, Romance",Peter Jackson,7.0,11541,128,149.1
Gun Shy,2017,"Action, Comedy",David Fincher,5.3,200426,117,626.0
Fallen,2017,"Drama, Fantasy, Romance",Martin Scorsese,5.5,3022,120,20.9
American Assassin,2017,"Action, Thriller",Coen Brothers,6.2,41468,104,
Mother!,2017,Horror,Alfred Hitchcock,7.4,49822,136,
Brad's Status,2017,"Comedy, Drama",Francis Ford Coppola,5.8,29537,131,
Kingsman: The Golden Circle,2017,"Action, Comedy, Spy",Martin Scorsese,7.1,51813,83,499.0
The Lego Ninjago Movie,2017,"Animated, Comedy, Martial Arts",Stanley Kubrick,7.6,40375,140,
Stronger,2017,"Drama, Biography",Quentin Tarantino,3.8,700,64,
Battle of the Sexes,2017,"Sports, Biography",Steven Spielberg,6.0,54154,143,123.1
Woodshock,2017,"Drama, Thriller",Paul Thomas Anderson,7.3,30250,104,
Victoria & Abdul,2017,"Drama, Historical, Biography",Ridley Scott,6.1,88058,81,906.6
(Romance) in the Digital Age,2017,Unknown,Steven Spielberg,3.3,24116,127,
Jeepers Creepers 3,2017,Horror,Alfred Hitchcock,6.1,69635,64,
American Made,2017,"Action, Comedy",David Fincher,6.2,28771,107,223.1
Flatliners,2017,"Drama, Horror, Science Fiction",Coen Brothers,6.5,42337,114,27.5
Mark Felt: The Man Who Brought Down the White House,2017,"Biography, Political, Thriller",Denis Villeneuve,6.1,35410,143,13.7
Blade Runner 2049,2017,"Noir, Science Fiction",Martin Scorsese,6.2,146005,103,174.3
The Mountain Between Us,2017,Drama,Steven Spielberg,6.1,9136,109,462.2
My Little Pony: The Movie,2017,"Animated, Fantasy, Musical",Christopher Nolan,6.4,20016,120,193.7
The Florida Project,2017,Drama,James Cameron,9.7,29691,107,
Brawl in Cell Block 99,2017,"Action, Noir, Thriller",Steven Spielberg,5.0,35013,134,
Happy Death Day,2017,"Comedy, Slasher",David Fincher,4.2,84579,96,
Marshall,2017,"Drama, Legal, Biography",Paul Thomas Anderson,8.9,27791,92,
Breathe,2017,"Drama, Biography",Christopher Nolan,8.1,132747,75,
Goodbye Christopher Robin,2017,"Drama, Biography",Martin Scorsese,5.8,1441,134,123.5
Professor Marston and the Wonder Women,2017,"Drama, Biography",James Cameron,6.1,108823,100,1222.0
Blood Money,2017,"Crime, Thriller",Peter Jackson,7.1,15207,98,49.9
Geostorm,2017,"Disaster, Science Fiction",Stanley Kubrick,5.8,46218,122,14.6
Only the Brave,2017,"Drama, War, Biography",Wes Anderson,6.5,56877,124,
The Snowman,2017,Thriller,Francis Ford Coppola,7.5,104124,76,
Boo 2! A Madea Halloween,2017,"Comedy, Horror",James Cameron,6.6,8153,98,
Same Kind of Different as Me,2017,Drama,Martin Scorsese,5.0,134333,127,
Leatherface,2017,Horror,Paul Thomas Anderson,6.8,133839,119,226.7
Wonderstruck,2017,"Drama, Mystery",Coen Brothers,6.4,84301,132,
The Killing of a Sacred Deer,2017,"Horror, Thriller",James Cameron,7.6,46203,107,1387.6
Thank You for Your Service,2017,"Drama, War, Biography",Christopher Nolan,5.9,26289,80,
Suburbicon,2017,"Comedy, Crime",Alfred Hitchcock,8.9,15594,113,47.8
Jigsaw,2017,Horror,Paul Thomas Anderson,7.0,23416,147,23.4
Novitiate,2017,Drama,Francis Ford Coppola,6.6,13096,112,152.8
All I See Is You,2017,Drama,Francis Ford Coppola,6.7,45364,90,
Amityville: The Awakening,2017,"Horror, Supernatural",Alfred Hitchcock,6.5,111327,88,
Thor: Ragnarok,2017,Superhero,Coen Brothers,6.5,98099,79,215.3
A Bad Moms Christmas,2017,Comedy,Steven Spielberg,5.3,4653,80,
